slope_code,event_code,event_date,municipality,neighborhood,elevation_m,slope_angle_deg,aspect_deg,curvature,ndvi,land_use_class,distance_to_drainage_m,distance_to_road_m,soil_type,lithology,rainfall_24h_mm,rainfall_7d_mm,soil_moisture_pct,instability_label,susceptibility_score,susceptibility_class,longitude,latitude
UBATUBA_PT_016,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,69.4,33.64,0.0,-0.073,0.369,exposed_soil,62.95,84.7,colluvial_soil,weathered_rock,86.8,257.4,64.46,1,0.76,High,-45.665458229880535,-23.784800159643776
UBATUBA_PT_017,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,70.89,34.01,18.0,-0.0753,0.363,exposed_soil,62.07,83.55,colluvial_soil,weathered_rock,87.41,258.67,65.08,1,0.771,High,-45.665443054669005,-23.784798012187384
UBATUBA_PT_018,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,73.16,34.97,36.0,-0.0808,0.348,exposed_soil,59.83,80.6,colluvial_soil,weathered_rock,88.94,261.88,66.66,1,0.799,High,-45.66542934012269,-23.78479165849429
UBATUBA_PT_019,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,72.86,36.26,54.0,-0.0866,0.327,exposed_soil,56.79,76.62,clayey_soil,weathered_rock,91.03,266.25,68.81,1,0.837,Very High,-45.665418434049535,-23.784781715971988
UBATUBA_PT_020,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,75.53,37.52,72.0,-0.0898,0.307,exposed_soil,53.83,72.73,clayey_soil,weathered_rock,93.07,270.51,70.89,1,0.874,Very High,-45.665411401418766,-23.78476915550036
UBATUBA_PT_021,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,68.0,31.88,90.0,-0.072,0.407,sparse_vegetation,73.65,97.9,colluvial_soil,weathered_rock,84.6,252.8,62.21,1,0.72,High,-45.665310777256046,-23.784755634558618
UBATUBA_PT_022,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,69.49,32.25,108.0,-0.0707,0.4,sparse_vegetation,72.77,96.75,colluvial_soil,weathered_rock,85.2,254.06,62.83,1,0.731,High,-45.665317768301854,-23.784713740519614
UBATUBA_PT_023,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,70.36,32.15,126.0,-0.0699,0.402,sparse_vegetation,73.01,97.06,colluvial_soil,weathered_rock,85.04,253.72,62.66,1,0.728,High,-45.66533849150313,-23.78467587885036
UBATUBA_PT_024,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,67.82,31.74,144.0,-0.0707,0.409,sparse_vegetation,73.97,98.32,colluvial_soil,weathered_rock,84.38,252.34,61.98,1,0.716,High,-45.66537090462657,-23.784645770552086
UBATUBA_PT_025,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,68.32,31.37,162.0,-0.0723,0.415,sparse_vegetation,74.85,99.48,colluvial_soil,weathered_rock,83.78,251.07,61.36,1,0.705,High,-45.66541185232548,-23.784626346595324
UBATUBA_PT_026,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,69.1,31.2,180.0,-0.073,0.418,sparse_vegetation,75.25,100.0,colluvial_soil,weathered_rock,83.5,250.5,61.08,1,0.7,High,-45.6654573103618,-23.784619521067068
UBATUBA_PT_027,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,67.32,31.37,198.0,-0.0723,0.415,sparse_vegetation,74.85,99.48,colluvial_soil,weathered_rock,83.78,251.07,61.36,1,0.705,High,-45.665502835889995,-23.7846259543971
UBATUBA_PT_028,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,68.82,31.74,216.0,-0.0707,0.409,sparse_vegetation,73.97,98.32,colluvial_soil,weathered_rock,84.38,252.34,61.98,1,0.716,High,-45.66554397953627,-23.78464502448631
UBATUBA_PT_029,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,70.36,32.15,234.0,-0.0699,0.402,sparse_vegetation,73.01,97.06,colluvial_soil,weathered_rock,85.04,253.72,62.66,1,0.728,High,-45.665576697753615,-23.784674852024796
UBATUBA_PT_030,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,68.49,32.25,252.0,-0.0707,0.4,sparse_vegetation,72.77,96.75,colluvial_soil,weathered_rock,85.2,254.06,62.83,1,0.731,High,-45.66559780549601,-23.784712533373373
UBATUBA_PT_031,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,69.0,31.88,270.0,-0.072,0.407,sparse_vegetation,73.65,97.9,colluvial_soil,weathered_rock,84.6,252.8,62.21,1,0.72,High,-45.665605222738826,-23.78475436530099
UBATUBA_PT_032,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,68.83,31.0,288.0,-0.0718,0.421,sparse_vegetation,75.73,100.63,colluvial_soil,weathered_rock,83.17,249.81,60.74,1,0.694,High,-45.66559823178366,-23.7847962593508
UBATUBA_PT_033,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,65.16,29.74,306.0,-0.0686,0.441,sparse_vegetation,78.69,104.52,colluvial_soil,weathered_rock,81.14,245.56,58.66,1,0.657,High,-45.66557750864037,-23.784834121053077
UBATUBA_PT_034,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,64.46,28.45,324.0,-0.0628,0.462,sparse_vegetation,81.73,108.5,colluvial_soil,weathered_rock,79.05,241.19,56.51,1,0.619,High,-45.6655450955201,-23.78486422939399
UBATUBA_PT_035,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,64.19,27.49,342.0,-0.0573,0.477,sparse_vegetation,83.97,111.44,colluvial_soil,weathered_rock,77.5,237.97,54.93,0,0.591,Medium,-45.66550414776833,-23.784883653386718
UBATUBA_PT_036,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,61.7,27.12,0.0,-0.055,0.484,sparse_vegetation,84.85,112.6,colluvial_soil,weathered_rock,76.9,236.7,54.31,0,0.58,Medium,-45.66545868964332,-23.784890478930524
UBATUBA_PT_037,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,63.2,27.49,18.0,-0.0573,0.477,sparse_vegetation,83.97,111.44,colluvial_soil,weathered_rock,77.5,237.97,54.93,0,0.591,Medium,-45.66541316402449,-23.784884045589706
UBATUBA_PT_038,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,65.46,28.45,36.0,-0.0628,0.462,sparse_vegetation,81.73,108.5,colluvial_soil,weathered_rock,79.05,241.19,56.51,1,0.619,High,-45.665372020320234,-23.784864975467467
UBATUBA_PT_039,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,65.16,29.74,54.0,-0.0686,0.441,sparse_vegetation,78.69,104.52,colluvial_soil,weathered_rock,81.14,245.56,58.66,1,0.657,High,-45.66533930209972,-23.784835147886344
UBATUBA_PT_040,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,67.83,31.0,72.0,-0.0718,0.421,sparse_vegetation,75.73,100.63,colluvial_soil,weathered_rock,83.17,249.81,60.74,1,0.694,High,-45.665318194410176,-23.784797466501796
UBATUBA_PT_041,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,60.3,25.36,90.0,-0.054,0.52,sparse_vegetation,95.55,125.8,colluvial_soil,weathered_rock,74.7,232.1,52.06,0,0.54,Medium,-45.66521262875723,-23.784756057519708
UBATUBA_PT_042,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,61.8,25.73,108.0,-0.0527,0.514,sparse_vegetation,94.67,124.64,colluvial_soil,weathered_rock,75.31,233.37,52.68,0,0.551,Medium,-45.66522428709382,-23.784686234099166
UBATUBA_PT_043,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,62.66,25.63,126.0,-0.0519,0.516,sparse_vegetation,94.91,124.96,colluvial_soil,weathered_rock,75.14,233.02,52.51,0,0.548,Medium,-45.6652588192516,-23.784623131363624
UBATUBA_PT_044,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,60.12,25.22,144.0,-0.0527,0.523,sparse_vegetation,95.87,126.22,colluvial_soil,weathered_rock,74.48,231.64,51.83,0,0.536,Medium,-45.66531284112577,-23.78457295089019
UBATUBA_PT_045,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,60.62,24.85,162.0,-0.0543,0.529,sparse_vegetation,96.75,127.38,colluvial_soil,weathered_rock,73.88,230.38,51.21,0,0.525,Medium,-45.66538108729189,-23.78454058367019
UBATUBA_PT_046,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,61.4,24.68,180.0,-0.055,0.531,sparse_vegetation,97.15,127.9,colluvial_soil,weathered_rock,73.6,229.8,50.93,0,0.52,Medium,-45.66545685060586,-23.78452920177713
UBATUBA_PT_047,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,59.62,24.85,198.0,-0.0543,0.529,sparse_vegetation,96.75,127.38,colluvial_soil,weathered_rock,73.88,230.38,51.21,0,0.525,Medium,-45.66553272646647,-23.78453993000913
UBATUBA_PT_048,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,61.12,25.22,216.0,-0.0527,0.523,sparse_vegetation,95.87,126.22,colluvial_soil,weathered_rock,74.48,231.64,51.83,0,0.536,Medium,-45.6656012991474,-23.78457170745151
UBATUBA_PT_049,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,62.66,25.63,234.0,-0.0519,0.516,sparse_vegetation,94.91,124.96,colluvial_soil,weathered_rock,75.14,233.02,52.51,0,0.548,Medium,-45.66565582950788,-23.784621419991954
UBATUBA_PT_050,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,60.8,25.73,252.0,-0.0527,0.514,sparse_vegetation,94.67,124.64,colluvial_soil,weathered_rock,75.31,233.37,52.68,0,0.551,Medium,-45.66569100256467,-23.784684222247833
UBATUBA_PT_051,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,61.3,25.36,270.0,-0.054,0.52,sparse_vegetation,95.55,125.8,colluvial_soil,weathered_rock,74.7,232.1,52.06,0,0.54,Medium,-45.665703371228524,-23.78475394209034
UBATUBA_PT_052,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,61.13,24.48,288.0,-0.0538,0.535,sparse_vegetation,97.63,128.53,colluvial_soil,weathered_rock,73.27,229.11,50.59,0,0.514,Medium,-45.6656917131437,-23.784823765540885
UBATUBA_PT_053,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,57.47,23.22,306.0,-0.0506,0.555,sparse_vegetation,100.59,132.41,colluvial_soil,weathered_rock,71.23,224.85,48.5,0,0.477,Medium,-45.665657181147004,-23.784886868368158
UBATUBA_PT_054,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,56.75,21.93,324.0,-0.0448,0.576,vegetation,103.63,136.41,residual_soil,weathered_rock,69.14,220.49,46.36,0,0.439,Medium,-45.66560315928164,-23.784937048960018
UBATUBA_PT_055,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,56.49,20.97,342.0,-0.0393,0.591,vegetation,105.87,139.34,residual_soil,weathered_rock,67.61,217.26,44.78,0,0.411,Medium,-45.66553491296868,-23.784969416279935
UBATUBA_PT_056,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,54.0,20.6,0.0,-0.037,0.598,vegetation,106.75,140.5,residual_soil,weathered_rock,67.0,216.0,44.16,0,0.4,Medium,-45.66545914940839,-23.784980798216214
UBATUBA_PT_057,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,55.49,20.97,18.0,-0.0393,0.591,vegetation,105.87,139.34,residual_soil,weathered_rock,67.61,217.26,44.78,0,0.411,Medium,-45.665383273296,-23.784970069954227
UBATUBA_PT_058,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,57.75,21.93,36.0,-0.0448,0.576,vegetation,103.63,136.41,residual_soil,weathered_rock,69.14,220.49,46.36,0,0.439,Medium,-45.66531470045401,-23.784938292420104
UBATUBA_PT_059,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,57.47,23.22,54.0,-0.0506,0.555,sparse_vegetation,100.59,132.41,colluvial_soil,weathered_rock,71.23,224.85,48.5,0,0.477,Medium,-45.66526017008472,-23.784888579761226
UBATUBA_PT_060,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,60.13,24.48,72.0,-0.0538,0.535,sparse_vegetation,97.63,128.53,colluvial_soil,weathered_rock,73.27,229.11,50.59,0,0.514,Medium,-45.665224997174754,-23.78482577740545
UBATUBA_PT_061,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,52.3,17.56,90.0,-0.034,0.668,vegetation,130.3,169.3,residual_soil,weathered_rock,63.7,209.1,40.78,0,0.34,Low,-45.66496725750022,-23.784757114649477
UBATUBA_PT_062,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,53.8,17.93,108.0,-0.0327,0.662,vegetation,129.42,168.15,residual_soil,weathered_rock,64.31,210.37,41.4,0,0.351,Medium,-45.66499056456438,-23.78461745884873
UBATUBA_PT_063,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,54.66,17.83,126.0,-0.0319,0.664,vegetation,129.66,168.46,residual_soil,weathered_rock,64.14,210.02,41.23,0,0.348,Low,-45.665059629132905,-23.78449127153325
UBATUBA_PT_064,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,52.12,17.42,144.0,-0.0327,0.67,vegetation,130.62,169.72,residual_soil,weathered_rock,63.48,208.64,40.55,0,0.336,Low,-45.665167692427794,-23.784390892556363
UBATUBA_PT_065,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,52.62,17.05,162.0,-0.0343,0.676,vegetation,131.5,170.88,residual_soil,weathered_rock,62.88,207.38,39.93,0,0.325,Low,-45.665304164983574,-23.78432615830088
UBATUBA_PT_066,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,53.4,16.88,180.0,-0.035,0.679,vegetation,131.9,171.4,residual_soil,weathered_rock,62.6,206.8,39.65,0,0.32,Low,-45.665455701225966,-23.784303403547597
UBATUBA_PT_067,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,51.62,17.05,198.0,-0.0343,0.676,vegetation,131.5,170.88,residual_soil,weathered_rock,62.88,207.38,39.93,0,0.325,Low,-45.665607462464266,-23.784324850907367
UBATUBA_PT_068,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,53.12,17.42,216.0,-0.0327,0.67,vegetation,130.62,169.72,residual_soil,weathered_rock,63.48,208.64,40.55,0,0.336,Low,-45.66574458803537,-23.78438840578502
UBATUBA_PT_069,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,54.66,17.83,234.0,-0.0319,0.664,vegetation,129.66,168.46,residual_soil,weathered_rock,64.14,210.02,41.23,0,0.348,Low,-45.665853668469175,-23.784487848726723
UBATUBA_PT_070,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,52.8,17.93,252.0,-0.0327,0.662,vegetation,129.42,168.15,residual_soil,weathered_rock,64.31,210.37,41.4,0,0.351,Medium,-45.66592401463759,-23.78461343507467
UBATUBA_PT_071,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,53.3,17.56,270.0,-0.034,0.668,vegetation,130.3,169.3,residual_soil,weathered_rock,63.7,209.1,40.78,0,0.34,Low,-45.665948742442794,-23.784752883790734
UBATUBA_PT_072,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,53.13,16.68,288.0,-0.0338,0.682,vegetation,132.38,172.03,residual_soil,weathered_rock,62.27,206.11,39.31,0,0.314,Low,-45.66592543638579,-23.784892539711425
UBATUBA_PT_073,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,49.47,15.42,306.0,-0.0306,0.703,vegetation,135.34,175.91,residual_soil,weathered_rock,60.23,201.86,37.22,0,0.277,Low,-45.66585637246147,-23.785018727393837
UBATUBA_PT_074,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,48.75,14.13,324.0,-0.0248,0.724,vegetation,138.38,179.91,residual_soil,weathered_rock,58.14,197.49,35.08,0,0.239,Low,-45.6657483092018,-23.785119106844512
UBATUBA_PT_075,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,48.49,13.17,342.0,-0.0193,0.739,vegetation,140.62,182.84,residual_soil,weathered_rock,56.61,194.26,33.5,0,0.211,Low,-45.665611836058815,-23.785183841499634
UBATUBA_PT_076,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,46.0,12.8,0.0,-0.017,0.745,vegetation,141.5,184.0,residual_soil,weathered_rock,56.0,193.0,32.88,0,0.2,Low,-45.66546029883103,-23.785206596425773
UBATUBA_PT_077,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,47.49,13.17,18.0,-0.0193,0.739,vegetation,140.62,182.84,residual_soil,weathered_rock,56.61,194.26,33.5,0,0.211,Low,-45.66530853658556,-23.785185148946063
UBATUBA_PT_078,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,49.75,14.13,36.0,-0.0248,0.724,vegetation,138.38,179.91,residual_soil,weathered_rock,58.14,197.49,35.08,0,0.239,Low,-45.665171410370256,-23.785121593701476
UBATUBA_PT_079,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,49.47,15.42,54.0,-0.0306,0.703,vegetation,135.34,175.91,residual_soil,weathered_rock,60.23,201.86,37.22,0,0.277,Low,-45.665062329901225,-23.785022150285993
UBATUBA_PT_080,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,52.13,16.68,72.0,-0.0338,0.682,vegetation,132.38,172.03,residual_soil,weathered_rock,62.27,206.11,39.31,0,0.314,Low,-45.66499198432002,-23.7848965635384
